organization_city,report_issue_date,exam_num,diagnoise_num
丽水市,2021-11-16,129,34
丽水市,2021-11-17,59,30
丽水市,2021-11-18,6,4
丽水市,2021-11-19,20,15
丽水市,2021-11-20,10,3
丽水市,2021-11-21,296,202
丽水市,2021-11-22,90,45
丽水市,2021-11-23,1059,238
丽水市,2021-11-24,32,0
丽水市,2021-11-25,64,6
丽水市,2021-11-26,129,12
丽水市,2021-11-27,158,66
丽水市,2021-11-28,417,206
丽水市,2021-11-29,215,0
丽水市,2021-11-30,162,4
丽水市,2021-12-01,15,1
丽水市,2021-12-03,7,2
丽水市,2021-12-04,1215,805
丽水市,2021-12-06,80,64
丽水市,2021-12-07,14,11
丽水市,2021-12-09,210,125
丽水市,2021-12-10,30,28
丽水市,2021-12-13,7,4
丽水市,2021-12-14,1,0
丽水市,2021-12-15,16,6
丽水市,2021-12-17,3,2
丽水市,2021-12-18,8,8
丽水市,2021-12-20,36,31
丽水市,2021-12-21,4,4
丽水市,2021-12-22,4,1
丽水市,2021-12-23,365,189
丽水市,2021-12-24,16,7
丽水市,2021-12-27,4,3
丽水市,2021-12-28,8,2
丽水市,2021-12-29,26,23
丽水市,2021-12-30,2,1
丽水市,2022-01-04,166,82
丽水市,2022-01-05,13,8
丽水市,2022-01-06,1,1
丽水市,2022-01-07,5,3
丽水市,2022-01-08,1,0
丽水市,2022-01-10,3,1
丽水市,2022-01-11,156,24
丽水市,2022-01-12,227,8
丽水市,2022-01-13,32,14
丽水市,2022-01-14,1,1
丽水市,2022-01-15,369,189
丽水市,2022-01-17,1,1
丽水市,2022-01-18,67,4
丽水市,2022-01-19,131,1
丽水市,2022-01-20,12,0
丽水市,2022-01-22,19,0
丽水市,2022-01-23,539,368
丽水市,2022-01-27,8,0
丽水市,2022-02-08,8,5
丽水市,2022-02-10,5,0
丽水市,2022-02-11,9,0
丽水市,2022-02-13,3,1
丽水市,2022-02-14,2,1
丽水市,2022-02-15,80,34
丽水市,2022-02-16,164,81
丽水市,2022-02-17,7,4
丽水市,2022-02-18,60,42
丽水市,2022-02-19,84,63
丽水市,2022-02-20,69,45
丽水市,2022-02-21,1,0
丽水市,2022-02-22,7,1
丽水市,2022-02-23,22,15
丽水市,2022-02-24,4,2
丽水市,2022-02-25,6,4
丽水市,2022-02-27,12,0
丽水市,2022-02-28,159,119
丽水市,2022-03-01,248,174
丽水市,2022-03-02,148,107
丽水市,2022-03-03,15,5
丽水市,2022-03-04,266,225
丽水市,2022-03-07,252,225
丽水市,2022-03-08,488,383
丽水市,2022-03-09,271,221
丽水市,2022-03-10,176,124
丽水市,2022-03-11,207,155
丽水市,2022-03-12,275,181
丽水市,2022-03-13,196,170
丽水市,2022-03-14,2,2
丽水市,2022-03-15,296,244
丽水市,2022-03-16,205,175
丽水市,2022-03-17,230,189
丽水市,2022-03-18,140,108
丽水市,2022-03-19,35,21
丽水市,2022-03-20,89,70
丽水市,2022-03-21,244,75
丽水市,2022-03-22,288,230
丽水市,2022-03-23,520,319
丽水市,2022-03-24,327,238
丽水市,2022-03-25,173,121
丽水市,2022-03-26,135,103
丽水市,2022-03-27,216,172
丽水市,2022-03-28,87,34
丽水市,2022-03-29,490,323
丽水市,2022-03-30,310,231
丽水市,2022-03-31,163,118
丽水市,2022-04-01,158,66
丽水市,2022-04-02,83,35
丽水市,2022-04-03,56,34
丽水市,2022-04-04,26,10
丽水市,2022-04-06,279,147
丽水市,2022-04-07,62,44
丽水市,2022-04-08,71,45
丽水市,2022-04-09,163,123
丽水市,2022-04-10,103,96
丽水市,2022-04-11,200,83
丽水市,2022-04-12,181,123
丽水市,2022-04-13,182,153
丽水市,2022-04-14,267,226
丽水市,2022-04-15,47,15
丽水市,2022-04-18,86,56
丽水市,2022-04-19,70,50
丽水市,2022-04-20,232,140
丽水市,2022-04-21,157,126
丽水市,2022-04-22,216,130
丽水市,2022-04-23,92,67
丽水市,2022-04-24,11,10
丽水市,2022-04-25,2,2
丽水市,2022-04-26,36,4
丽水市,2022-04-27,81,66
丽水市,2022-04-28,28,21
丽水市,2022-04-29,185,123
丽水市,2022-04-30,172,156
丽水市,2022-05-01,1,0
丽水市,2022-05-02,1,0
丽水市,2022-05-04,118,96
丽水市,2022-05-05,368,115
丽水市,2022-05-06,175,155
丽水市,2022-05-07,135,100
丽水市,2022-05-08,47,41
丽水市,2022-05-09,100,58
丽水市,2022-05-10,190,99
丽水市,2022-05-11,89,60
丽水市,2022-05-12,108,68
丽水市,2022-05-13,15,12
丽水市,2022-05-14,3,1
丽水市,2022-05-15,32,28
丽水市,2022-05-16,8,5
丽水市,2022-05-17,91,75
丽水市,2022-05-18,85,60
丽水市,2022-05-19,110,98
丽水市,2022-05-20,86,57
丽水市,2022-05-21,204,147
丽水市,2022-05-22,127,108
丽水市,2022-05-24,170,99
丽水市,2022-05-25,110,53
丽水市,2022-05-26,87,3
丽水市,2022-05-27,169,60
丽水市,2022-05-28,22,20
丽水市,2022-05-29,35,13
丽水市,2022-05-30,32,26
丽水市,2022-05-31,158,117
丽水市,2022-06-01,58,34
丽水市,2022-06-02,170,54
丽水市,2022-06-04,22,19
丽水市,2022-06-05,14,0
丽水市,2022-06-06,137,80
丽水市,2022-06-07,133,15
丽水市,2022-06-08,24,17
丽水市,2022-06-09,51,41
丽水市,2022-06-10,80,55
丽水市,2022-06-11,205,166
丽水市,2022-06-12,310,115
丽水市,2022-06-13,43,14
丽水市,2022-06-14,208,146
丽水市,2022-06-15,276,138
丽水市,2022-06-16,45,34
丽水市,2022-06-17,163,136
丽水市,2022-06-18,45,30
丽水市,2022-06-19,106,76
丽水市,2022-06-21,3,2
丽水市,2022-06-22,126,84
丽水市,2022-06-23,131,105
丽水市,2022-06-24,44,7
丽水市,2022-06-25,53,2
丽水市,2022-06-27,2,1
丽水市,2022-06-28,19,8
丽水市,2022-06-29,27,16
丽水市,2022-07-01,8,8
丽水市,2022-07-02,176,135
丽水市,2022-07-03,179,27
丽水市,2022-07-04,258,144
丽水市,2022-07-05,177,119
丽水市,2022-07-06,386,115
丽水市,2022-07-07,190,123
丽水市,2022-07-08,163,119
丽水市,2022-07-09,36,31
丽水市,2022-07-10,20,13
丽水市,2022-07-11,105,95
丽水市,2022-07-12,68,52
丽水市,2022-07-13,113,81
丽水市,2022-07-14,232,154
丽水市,2022-07-15,46,29
丽水市,2022-07-16,71,63
丽水市,2022-07-17,82,70
丽水市,2022-07-18,7,3
丽水市,2022-07-19,6,4
丽水市,2022-07-20,8,8
丽水市,2022-07-21,81,21
丽水市,2022-07-22,64,47
丽水市,2022-07-23,14,13
丽水市,2022-07-24,1,1
丽水市,2022-07-25,50,18
丽水市,2022-07-26,8,2
丽水市,2022-07-27,211,69
丽水市,2022-07-28,169,125
丽水市,2022-07-29,128,102
丽水市,2022-07-30,127,102
丽水市,2022-07-31,37,35
丽水市,2022-08-01,7,3
丽水市,2022-08-02,40,20
丽水市,2022-08-03,68,37
丽水市,2022-08-04,128,93
丽水市,2022-08-05,60,36
丽水市,2022-08-06,113,80
丽水市,2022-08-07,3,3
丽水市,2022-08-08,28,15
丽水市,2022-08-09,161,131
丽水市,2022-08-10,76,63
丽水市,2022-08-11,154,133
丽水市,2022-08-12,100,64
丽水市,2022-08-13,227,151
丽水市,2022-08-14,105,80
丽水市,2022-08-15,61,52
丽水市,2022-08-16,32,27
丽水市,2022-08-17,56,49
丽水市,2022-08-18,33,24
丽水市,2022-08-19,37,16
丽水市,2022-08-20,94,74
丽水市,2022-08-21,45,25
丽水市,2022-08-22,14,6
丽水市,2022-08-23,30,3
丽水市,2022-08-24,73,52
丽水市,2022-08-25,49,27
丽水市,2022-08-26,34,16
丽水市,2022-08-27,63,24
丽水市,2022-08-29,67,65
丽水市,2022-08-30,101,56
丽水市,2022-08-31,128,74
丽水市,2022-09-01,38,23
丽水市,2022-09-02,168,127
丽水市,2022-09-03,38,24
丽水市,2022-09-04,34,13
丽水市,2022-09-05,237,58
丽水市,2022-09-06,122,54
丽水市,2022-09-07,60,47
丽水市,2022-09-08,56,46
丽水市,2022-09-09,222,173
丽水市,2022-09-10,8,6
丽水市,2022-09-12,67,46
丽水市,2022-09-13,255,155
丽水市,2022-09-14,170,92
丽水市,2022-09-15,64,40
丽水市,2022-09-16,49,30
丽水市,2022-09-17,98,70
丽水市,2022-09-18,345,240
丽水市,2022-09-19,127,110
丽水市,2022-09-20,225,129
丽水市,2022-09-21,87,75
丽水市,2022-09-22,156,142
丽水市,2022-09-23,53,37
