organization_city,year_month,diagnoise_res
丽水市,2021-11,865
丽水市,2021-12,1317
丽水市,2022-1,705
丽水市,2022-10,1519
丽水市,2022-11,218
丽水市,2022-2,417
丽水市,2022-3,4743
丽水市,2022-4,2151
丽水市,2022-5,1774
丽水市,2022-6,1395
丽水市,2022-7,1928
丽水市,2022-8,1499
丽水市,2022-9,2177
台州市,2021-11,11227
台州市,2021-12,7639
台州市,2022-1,2464
台州市,2022-10,11563
台州市,2022-11,6740
台州市,2022-2,3175
台州市,2022-3,10155
台州市,2022-4,10746
台州市,2022-5,11381
台州市,2022-6,13344
台州市,2022-7,11933
台州市,2022-8,10574
台州市,2022-9,12222
嘉兴市,2021-11,8617
嘉兴市,2021-12,13254
嘉兴市,2022-1,3505
嘉兴市,2022-10,9888
嘉兴市,2022-11,4200
嘉兴市,2022-2,5045
嘉兴市,2022-3,6786
嘉兴市,2022-4,4291
嘉兴市,2022-5,7755
嘉兴市,2022-6,9989
嘉兴市,2022-7,12193
嘉兴市,2022-8,13080
嘉兴市,2022-9,8274
宁波市,2021-11,10802
宁波市,2021-12,17103
宁波市,2022-1,4272
宁波市,2022-10,5509
宁波市,2022-11,165
宁波市,2022-2,9248
宁波市,2022-3,13918
宁波市,2022-4,8860
宁波市,2022-5,15602
宁波市,2022-6,25139
宁波市,2022-7,16766
宁波市,2022-8,14305
宁波市,2022-9,13338
杭州市,2021-11,10811
杭州市,2021-12,17622
杭州市,2022-1,7620
杭州市,2022-10,17882
杭州市,2022-11,10387
杭州市,2022-2,7702
杭州市,2022-3,15478
杭州市,2022-4,11700
杭州市,2022-5,13680
杭州市,2022-6,20566
杭州市,2022-7,17347
杭州市,2022-8,16769
杭州市,2022-9,16324
温州市,2021-11,4553
温州市,2021-12,6688
温州市,2022-1,2295
温州市,2022-10,9803
温州市,2022-11,4093
温州市,2022-2,2197
温州市,2022-3,10739
温州市,2022-4,13583
温州市,2022-5,11668
温州市,2022-6,11750
温州市,2022-7,10993
温州市,2022-8,9375
温州市,2022-9,7620
湖州市,2021-11,5713
湖州市,2021-12,11743
湖州市,2022-1,5931
湖州市,2022-10,8919
湖州市,2022-11,5283
湖州市,2022-2,5651
湖州市,2022-3,11901
湖州市,2022-4,9084
湖州市,2022-5,10434
湖州市,2022-6,10770
湖州市,2022-7,10416
湖州市,2022-8,10793
湖州市,2022-9,11608
绍兴市,2021-11,6869
绍兴市,2021-12,8347
绍兴市,2022-1,7416
绍兴市,2022-10,12094
绍兴市,2022-11,5828
绍兴市,2022-2,4821
绍兴市,2022-3,9190
绍兴市,2022-4,8379
绍兴市,2022-5,8627
绍兴市,2022-6,18414
绍兴市,2022-7,18074
绍兴市,2022-8,11430
绍兴市,2022-9,11462
舟山市,2021-11,760
舟山市,2021-12,834
舟山市,2022-1,762
舟山市,2022-10,1486
舟山市,2022-11,681
舟山市,2022-2,995
舟山市,2022-3,1306
舟山市,2022-4,3907
舟山市,2022-5,2537
舟山市,2022-6,3201
舟山市,2022-7,2551
舟山市,2022-8,3730
舟山市,2022-9,2362
衢州市,2021-11,1313
衢州市,2021-12,4537
衢州市,2022-1,1215
衢州市,2022-10,3108
衢州市,2022-11,1906
衢州市,2022-2,1999
衢州市,2022-3,1576
衢州市,2022-4,1909
衢州市,2022-5,2531
衢州市,2022-6,5640
衢州市,2022-7,4299
衢州市,2022-8,5332
衢州市,2022-9,6054
金华市,2021-11,1821
金华市,2021-12,3531
金华市,2022-1,1271
金华市,2022-10,4169
金华市,2022-11,3445
金华市,2022-2,174
金华市,2022-3,1632
金华市,2022-4,1961
金华市,2022-5,3180
金华市,2022-6,4047
金华市,2022-7,5193
金华市,2022-8,3923
金华市,2022-9,3757
